# Variation of the K3+ EOB quantity for circular orbits about a Schwarzschild black hole
# as defined by Eq. (2.47) in Nolan et al. Phys. Rev. D 92, 123008 (2015), arXiv:1505.04447
# Format: r0/M   delta_K3plus
4	-1.07240229194
5	-0.952268599881
6	-1.150905925689
7	-1.347913915585
8	-1.511472597166
9	-1.643850731891
10	-1.751437199028
12	-1.913557269058
14	-2.028682058336
16	-2.114109122984
18	-2.179795496907
20	-2.23177158718
30	-2.383995972376
40	-2.457665106706
50	-2.50097652137
60	-2.529455493583
70	-2.549596340465
80	-2.564588968234
90	-2.576181641423
100	-2.585412146067
500	-2.650685806947
1000	-2.658693616512
5000	-2.665074853918
